"eNB","cell","radio","lat","lon","lat_1_re","lon_1_re"
"26575","12","1.8GHz(20M)","37:36.43/880","127:4.46/950",37.614667,127.079708
"26575","13","1.8GHz(20M)","37:36.43/880","127:04.46/950",37.614667,127.079708
"26575","14","1.8GHz(20M)","37:36.54/629","127:06.12/890",37.610483,127.103581
"26575","15","2.1GHz(20M)","37:36.42/880","127:4.45/950",37.614667,127.079431
"26575","16","2.1GHz(20M)","37:36.43/880","127:04.46/950",37.614667,127.079708
"26575","17","2.1GHz(20M)","37:36.54/629","127:06.12/890",37.610483,127.103581
"26575","2","800MHz","37:36.07/458","127:06.00/241",37.607633,127.100067
"26575","3","1.8GHz(20M)","37:36.54/28 ","127:5.5/85 ",37.604667,127.084958
"26575","4","1.8GHz(20M)","37:36.12/46 ","127:5.53/51 ",37.607667,127.098197
"26575","5","1.8GHz(20M)","37:36.07/458","127:06.00/241",37.607633,127.100067
"26575","6","2.1GHz(20M)","37:36.54/280","127:5.5/850",37.604667,127.084958
"26575","7","2.1GHz(20M)","37:36.14/466","127:5.53/511",37.607767,127.098198
"26575","9","800MHz","37:36.43/880","127:4.46/950",37.614667,127.079708
"26757","0","800MHz","37:36.17/212","127:05.44/693",37.603533,127.095748
"26757","1","800MHz","37:35.25/427","127:4.36/556",37.59045,127.076821
"26757","10","800MHz","37:35.53/075","127:06.20/922",37.584583,127.105812
"26757","11","800MHz","37:36.14/55 ","127:5.52/63 ",37.609167,127.097953
"26757","12","1.8GHz(20M)","37:36.53/467","127:5.39/609",37.607783,127.094336
"26757","13","1.8GHz(20M)","37:35.53/075","127:06.20/922",37.584583,127.105812
"26757","14","1.8GHz(20M)","37:36.6/55 ","127:5.52/63 ",37.609167,127.097953
"26757","15","2.1GHz(20M)","37:36.53/467","127:5.39/609",37.607783,127.094336
"26757","17","2.1GHz(20M)","37:36.14/555","127:5.52/633",37.60925,127.097954
"26757","2","800MHz","37:36.11/299","127:05.56/522",37.604983,127.099034
"26757","3","1.8GHz(20M)","37:36.17/212","127:05.44/693",37.603533,127.095748
"26757","4","1.8GHz(20M)","37:35.25/427","127:4.36/556",37.59045,127.076821
"26757","5","1.8GHz(20M)","37:36.11/299","127:05.56/522",37.604983,127.099034
"26757","8","2.1GHz(20M)","37:36.11/299","127:05.56/522",37.604983,127.099034
"26757","9","800MHz","37:36.53/467","127:5.39/609",37.607783,127.094336
"27839","0","800MHz","37:34.36/985","127:02.08/565",37.583083,127.035712
"27839","1","800MHz","37:35.39/786","127:03.31/065",37.596433,127.058629
"27839","12","1.8GHz(20M)","37:34.13/710","127:1.56/220",37.5785,127.032283
"27839","13","1.8GHz(20M)","37:35.18/4  ","127:2.24/3  ",37.59,127.040083
"27839","15","2.1GHz(20M)","37:34.13/710","127:1.56/220",37.5785,127.032283
"27839","16","2.1GHz(20M)","37:35.18/4  ","127:2.24/3  ",37.59,127.040083
"27839","3","1.8GHz(20M)","37:34.36/985","127:02.08/565",37.583083,127.035712
"27839","4","1.8GHz(20M)","37:35.39/786","127:03.31/065",37.596433,127.058629
"27839","7","2.1GHz(20M)","37:35.39/786","127:03.31/065",37.596433,127.058629
"27839","9","800MHz","37:34.13/710","127:1.56/220",37.5785,127.032283
"27926","0","800MHz","37:34.16/676","127:03.37/627",37.577933,127.060452
"27926","1","800MHz","37:34.31/867","127:03.01/074",37.581117,127.050298
"27926","2","800MHz","37:34.30/899","127:03.00/594",37.58165,127.050165
"27926","3","1.8GHz(20M)","37:34.16/676","127:03.37/627",37.577933,127.060452
"27926","4","1.8GHz(20M)","37:34.31/867","127:03.01/074",37.581117,127.050298
"27926","5","1.8GHz(20M)","37:34.30/899","127:03.00/594",37.58165,127.050165
"27927","0","800MHz","37:33.44/061","127:03.38/069",37.551017,127.060575
"27927","14","1.8GHz(20M)","37:33.50/962","127:03.50/971",37.566033,127.064159
"27927","20","800MHz","37:33.50/962","127:03.50/971",37.566033,127.064159
"27928","0","800MHz","37:34.23/425","127:4.30/401",37.57375,127.075111
"27928","0","800MHz","37:34.23/425","127:4.30/401",37.57375,127.075111
"27928","10","800MHz","37:34.23/134","127:04.29/917",37.5689,127.074977
"27928","13","1.8GHz(20M)","37:34.18/634","127:04.07/165",37.577233,127.068657
"27928","18","800MHz","37:34.23/425","127:4.30/401",37.57375,127.075111
"27928","19","800MHz","37:34.18/634","127:04.07/165",37.577233,127.068657
"27928","3","1.8GHz(20M)","37:34.23/425","127:4.30/401",37.57375,127.075111
"27928","3","1.8GHz(20M)","37:34.23/425","127:4.30/401",37.57375,127.075111
"27928","3","1.8GHz(20M)","37:34.23/425","127:4.30/401",37.57375,127.075111
"27929","0","800MHz","37:33.50/962","127:03.50/971",37.566033,127.064159
"27929","1","800MHz","37:34.07/002","127:03.53/008",37.5667,127.064724
"27929","12","1.8GHz(20M)","37:34.31/006","127:03.59/002",37.566767,127.066389
"27929","14","1.8GHz(20M)","37:33.55/217","127:03.39/973",37.553617,127.061104
"27929","18","800MHz","37:34.31/006","127:03.59/002",37.566767,127.066389
"27929","2","800MHz","37:35.22/970","127:03.20/000",37.5995,127.055556
"27929","20","800MHz","37:33.55/217","127:03.39/973",37.553617,127.061104
"27929","3","1.8GHz(20M)","37:33.50/962","127:03.50/971",37.566033,127.064159
"27929","4","1.8GHz(20M)","37:34.07/002","127:03.53/008",37.5667,127.064724
"27930","0","800MHz","37:34.51/210","127:4.18/810",37.570167,127.071892
"27930","1","800MHz","37:34.30/800","127:03.25/478",37.58,127.057077
"27930","10","800MHz","37:34.16/728","127:03.28/712",37.5788,127.057976
"27930","12","1.8GHz(20M)","37:33.41/370","127:4.14/470",37.556167,127.070686
"27930","13","1.8GHz(20M)","37:34.16/728","127:03.28/712",37.5788,127.057976
"27930","3","1.8GHz(20M)","37:34.50/148","127:4.19/77 ",37.569133,127.072158
"27930","6","2.1GHz(20M)","37:34.50/130","127:4.19/77 ",37.568833,127.072158
"27930","9","800MHz","37:33.41/370","127:4.14/470",37.556167,127.070686
"27931","12","1.8GHz(20M)","37:34.40/315","127:04.04/463",37.571917,127.067906
"27931","13","1.8GHz(20M)","37:33.58/586","127:02.50/178",37.559767,127.047272
"27931","18","800MHz","37:34.40/315","127:04.04/463",37.571917,127.067906
"27931","19","800MHz","37:33.58/586","127:02.50/178",37.559767,127.047272
"27932","0","800MHz","37:34.21/295","127:3.53/715",37.571583,127.064921
"27932","10","800MHz","37:33.41/955","127:03.27/539",37.565917,127.05765
"27932","11","800MHz","37:34.11/490","127:02.58/900",37.574833,127.049694
"27932","12","1.8GHz(20M)","37:34.30/605","127:2.57/912",37.57675,127.04942
"27932","13","1.8GHz(20M)","37:33.41/955","127:03.27/539",37.565917,127.05765
"27932","14","1.8GHz(20M)","37:34.11/490","127:02.58/900",37.574833,127.049694
"27932","3","1.8GHz(20M)","37:34.21/295","127:3.53/715",37.571583,127.064921
"27932","9","800MHz","37:34.30/45 ","127:2.58/58 ",37.574167,127.049606
"27933","0","800MHz","37:34.09/007","127:03.02/002",37.566783,127.050556
"27933","1","800MHz","37:33.51/081","127:03.23/095",37.55135,127.056415
